certeza_disc_clas_1,certeza_disc_clas_2,certeza_disc_clas_3,certeza_ofens_clas_1,certeza_ofens_clas_2,certeza_ofens_clas_3,comment,date,disc_clas_1,disc_clas_2,disc_clas_3,id_autor_1,id_autor_2,id_autor_3,keyword,ofens_clas_1,ofens_clas_2,ofens_clas_3,source,odio
-1.0,-1.0,4.0,4.0,5.0,4.0,"Eu fui ver o Twitter da garota e já dou de cara com um ""cristã e antifeminista"". 💀💀",2020-12-23 21:17:31,0.0,0.0,1.0,-MbqEhLQ5DHE4JKVnSYz,-MbrOtpTLDyCIXXqMS8s,-MbxUAktPHOvanZLgccl,antifeminista,0.0,0.0,1.0,Twitter,0
5.0,1.0,5.0,5.0,5.0,5.0,"@NOME @NOME Jaja te bloqueio denovo seu resto de aborto , eu responde o menino é pra vc ver também que vc tá com falta de r*** no cu poc mal comida ridicula",2020-12-27 20:51:47,0.0,0.0,1.0,-MbrXeGPm84uPDqKwzsp,-MbxCpLCV0T1V7o0TS8U,-Mc-A6HAii__JnTbfS87,mal_comida,1.0,1.0,1.0,Twitter,0
-1.0,-1.0,-1.0,5.0,5.0,5.0,"@NOME @NOME @NOME @NOME O link n ta abrindo p mim, independente se vc e homem ou mulher, vc tem lugar de fala, pq o assunto diz sobre machismo, e mulheres que o ""praticam"", mas é complicado vc apontar dedo pra alguma mulher ""machista"" só pq ela é antifeminista, são coisas diferentes",2020-12-24 14:16:29,0.0,0.0,0.0,-MbpxGPiip0WCKKay75Y,-MbxAkmihTQeEppUb3js,-MbxCzO_1ftJ-VJJcgJv,antifeminista,0.0,0.0,0.0,Twitter,0
-1.0,-1.0,-1.0,4.0,5.0,5.0,Quando vejo uma mulher antifeminista eu só consigo pensar.... Como????,2020-12-23 19:31:28,0.0,0.0,0.0,-MbneJBhF1GNC7xPlc-V,-MbqFQINR5epWplcJrfU,-Mbwgys1T2GNBckrws-l,antifeminista,0.0,0.0,0.0,Twitter,0
5.0,5.0,4.0,5.0,5.0,3.0,@NOME Mulher bonita e sem frescuras 😍😍😍....o terror das feminazi kkkkkk,2020-12-20 18:04:36,1.0,1.0,1.0,-MbqHpEUMADtFHR3ci3y,-MbvHmh93AGhmpw2J54j,-MbxDaKZSOQDgemnY-H6,feminazi,1.0,1.0,1.0,Twitter,1
-1.0,5.0,3.0,5.0,5.0,5.0,"@NOME Minha família é toda petralha, esquerdista, comunista, gayzista, abortista,  🙏🙏",2020-12-27 18:02:50,0.0,0.0,0.0,-Mbs_9J6Dqx7BHwOUi9G,-MbxDHWtDpUZZPNhY-Ma,-MbxGWjU1M1ieXKUkF_T,abortista,0.0,1.0,1.0,Twitter,0
-1.0,5.0,-1.0,4.0,5.0,5.0,T.T. sendo cancelada enquanto Neymar tá dando festa kkkkkkkkkkkk,2020-12-28 20:09:02,0.0,1.0,0.0,-MbxDwNDMJ6rywMpC4j0,-MbxLJj4LsbdXk2k9rqT,-MbxpWLZZlw_ZmBx1wPF,thelma,0.0,1.0,0.0,Twitter,0
-1.0,-1.0,5.0,4.0,4.0,5.0,GENOCIDA é quem apoia ASSASSINATO DE BEBÊS !! #AbortoNAO,2020-12-30 18:16:57,0.0,0.0,0.0,-MblWwOVnnvF6eAhsQd1,-Mbq9yDN_N9wQR5F1Ed6,-MbxOJ613Z8dYNpL8Lns,#abortonao,0.0,0.0,1.0,Twitter,0
-1.0,4.0,5.0,5.0,5.0,5.0,"@NOME ai amg essa garota é um saco, é antifeminista e gordofobica sério ela posta umas coisas tão idiotas, só não silenciei pra ficar rindo das coisas que ela postakkkk",2020-12-22 23:14:30,0.0,1.0,0.0,-MbqRJm8MrRSxhRuTLg6,-Mbr1uX8laUNKGJaqiPk,-MbrSsjwEb_uGDpcjomk,antifeminista,0.0,1.0,1.0,Twitter,0
1.0,3.0,4.0,2.0,3.0,2.0,Cancelando a T.T. mas não para o cu em casa 🤪🥰🤤🤩❤🥳😆🤭,2020-12-28 20:00:39,0.0,0.0,1.0,-MbnbUUshG7iXYmI7EVJ,-MbqJLb4Hete8C1G-Kmj,-Mbr4ItRY8gmP4IRiXbv,thelma,1.0,1.0,1.0,Twitter,0
-1.0,-1.0,-1.0,5.0,5.0,5.0,Nunca! #AbortoNao,2020-12-30 18:46:47,0.0,0.0,0.0,-Mbm3Wzu2Ar9b0o6YDjX,-Mbq9DD4D230PlECB9yJ,-Mc0367bpreQEL8Wc70S,#abortonao,0.0,0.0,0.0,Twitter,0
-1.0,5.0,-1.0,5.0,5.0,4.0,"@NOME Ctz que nao estao só as 4... mas tipo, só a ideia do privilegio de alugar uma ilha durante uma pandemia, qlqr trabalhador que vê um negocio desse se sente um bosta (mas a T.T. merece esse sossego, eu ~julgo~ todas menos ela kkk)",2020-12-28 20:06:41,0.0,1.0,0.0,-Mbm3Wzu2Ar9b0o6YDjX,-MbxTZKX4pJJ_c4RjZFB,-MbxZnhMKNVHx1Ool_aN,thelma,0.0,1.0,0.0,Twitter,0
